bikes_rented,temp,humidity,wind_speed,visibility,dew_temp,solar_rad,rainfall,snowfall
247,-5.2,33,4.6,1973,-19,1.26,0,0
241,-5.4,32,5.1,1986,-19.5,1.24,0,0
253,-5.4,31,4.1,1945,-19.9,1.13,0,0
269,-5.5,33,4.5,2000,-19.2,0.92,0,0
277,-6,40,4,2000,-17.4,0.55,0,0
361,-7.1,44,4.2,2000,-17.3,0.18,0,0
557,-7.9,43,3.3,2000,-18.3,0,0,0
371,-8.6,45,3.9,2000,-18.4,0,0,0
254,-9.3,49,3.8,2000,-18,0,0,0
266,-9.7,51,2.5,2000,-17.9,0,0,0
222,-10.2,50,3,2000,-18.6,0,0,0
174,-10.7,53,1.2,2000,-18.4,0,0,0
133,-11,51,1.1,2000,-19.1,0,0,0
127,-11.2,51,1.1,2000,-19.3,0,0,0
95,-11.5,50,0.7,2000,-19.8,0,0,0
54,-11.6,50,2.2,1995,-19.9,0,0,0
46,-11.6,47,2.1,1982,-20.6,0,0,0
65,-11.6,45,2.8,1951,-21.1,0,0,0
104,-11.8,47,2.5,1973,-20.8,0,0,0
280,-12.1,50,2.3,1929,-20.4,0,0,0
580,-12.3,52,1.3,1914,-20.1,0,0,0
275,-11.8,46,2.9,1956,-21.1,0.1,0,0
184,-10.5,45,3.3,1855,-20.1,0.6,0,0
201,-9.4,42,3.1,1815,-19.9,0.93,0,0
228,-8.3,35,2.9,1967,-21,1.14,0,0
225,-6.9,37,2.4,1955,-19.1,1.22,0,0
258,-5.4,32,2,1930,-19.5,1.12,0,0
250,-5.8,30,2.8,2000,-20.6,0.92,0,0
248,-6,29,2.8,1983,-21.2,0.58,0,0
305,-7,32,2.6,2000,-20.9,0.19,0,0
529,-7.7,36,1,2000,-20.2,0,0,0
350,-8.2,43,1.1,2000,-18.5,0,0,0
260,-8.4,42,1,2000,-19,0,0,0
270,-8.8,43,1.4,1999,-19.1,0,0,0
256,-9,45,1.3,1999,-18.7,0,0,0
173,-9.3,47,2.1,2000,-18.5,0,0,0
168,-9.5,48,1.3,1996,-18.4,0,0,0
183,-10.2,52,1.6,1997,-18.2,0,0,0
120,-10.4,53,1.8,1949,-18.1,0,0,0
79,-10.9,55,1.8,1913,-18.1,0,0,0
41,-11.4,58,1.3,1907,-18,0,0,0
68,-11.5,58,1.1,1923,-18.1,0,0,0
109,-11.9,57,1.1,1974,-18.7,0,0,0
310,-11.7,53,1.6,1998,-19.3,0,0,0
591,-11.4,47,3.3,2000,-20.4,0,0,0
340,-11.1,46,3.4,1981,-20.4,0.1,0,0
202,-9.5,39,2.1,1875,-20.9,0.6,0,0
251,-8.1,35,1.8,1806,-20.9,0.96,0,0
267,-6.5,30,2.9,1945,-21.2,1.17,0,0
251,-5.8,28,2.9,1887,-21.4,1.23,0,0
240,-4.7,27,2.9,1883,-20.8,1.12,0,0
240,-4.9,26,3.1,1887,-21.5,0.89,0,0
278,-4.5,26,2.2,2000,-21.1,0.56,0,0
392,-5.6,29,1.7,2000,-20.8,0.18,0,0
537,-6.6,33,1.1,2000,-20.2,0,0,0
373,-6.6,31,1.6,2000,-20.9,0,0,0
263,-7.6,35,0.8,2000,-20.4,0,0,0
271,-8.3,39,1,2000,-19.8,0,0,0
271,-8.9,39,0.1,2000,-20.3,0,0,0
174,-9.2,44,0.4,1978,-19.2,0,0,0
171,-9.5,50,0.6,1953,-18,0,0,0
170,-9.8,48,0.8,2000,-18.7,0,0,0
107,-10.6,44,0.8,1903,-20.5,0,0,0
80,-10.7,48,0.4,1651,-19.6,0,0,0
52,-11,50,0.8,1718,-19.4,0,0,0
62,-10.8,48,0.8,1648,-19.6,0,0,0
108,-11,55,0.8,1541,-18.2,0,0,0
279,-10.9,57,1.1,1387,-17.7,0,0,0
621,-10.4,54,1.1,1432,-17.9,0.01,0,0
305,-9.4,44,0.5,1680,-19.4,0.13,0,0
189,-7.7,43,0.9,1555,-18.1,0.35,0,0
247,-6.1,38,1,1587,-18.1,0.52,0,0
278,-4.9,34,1.3,1768,-18.3,0.6,0,0
282,-3.8,32,0.9,1827,-18.1,0.52,0,0
294,-2.7,28,0.7,1857,-18.7,0.65,0,0
301,-2.5,29,1.1,1667,-18.1,0.48,0,0
335,-2.4,28,0.9,1878,-18.4,0.35,0,0
382,-2.9,31,0.6,1723,-17.7,0.09,0,0
612,-3.5,35,1.1,1414,-16.7,0,0,0
410,-4.2,40,0.9,1216,-15.8,0,0,0
277,-4.8,43,1.1,1397,-15.4,0,0,0
316,-4.8,45,0.8,1351,-14.9,0,0,0
309,-4.9,44,1.1,1369,-15.3,0,0,0
211,-5.6,53,1.2,1290,-13.6,0,0,0
227,-5.7,53,0.6,1262,-13.7,0,0,0
241,-6.3,57,0.4,1148,-13.4,0,0,0
162,-6.8,58,0.4,1089,-13.6,0,0,0
110,-6.9,56,0.5,1111,-14.2,0,0,0
69,-7.1,59,0.8,1058,-13.7,0,0,0
68,-7.5,64,0.9,989,-13.1,0,0,0
129,-7.4,64,0.7,906,-13,0,0,0
285,-7,63,0.6,865,-12.8,0,0,0
658,-6.6,64,1.1,791,-12.2,0,0,0
330,-5.9,60,0.6,691,-12.4,0.09,0,0
221,-4.6,52,0.8,648,-12.9,0.34,0,0
279,-2.9,46,1,809,-12.9,0.42,0,0
309,-2.5,43,0.7,895,-13.3,0.34,0,0
325,-1.6,40,0.3,868,-13.4,0.32,0,0
329,-0.7,39,0.8,826,-12.9,0.35,0,0
342,0.1,35,1.5,946,-13.5,0.42,0,0
354,0,37,0.6,994,-12.9,0.13,0,0
464,-0.2,39,0.8,1016,-12.5,0,0,0
682,0.1,43,0.9,1485,-11,0,0,0
451,0.6,41,1.2,1550,-11.1,0,0,0
320,0.9,42,1.2,1113,-10.5,0,0,0
300,0.7,47,2.7,1283,-9.3,0,0,0
296,-0.1,49,2,870,-9.5,0,0,0
247,-1.3,60,2.5,792,-8,0,0,0
217,-2.6,73,3.4,787,-6.7,0,0,0
302,-3.4,76,2.9,582,-7,0,0,0
228,-4.1,73,2.1,567,-8.2,0,0,0
129,-4.5,71,1.6,651,-8.9,0,0,0
80,-5,70,2.7,702,-9.6,0,0,0
45,-5.6,72,2,662,-9.8,0,0,0
66,-6.1,69,2.9,765,-10.8,0,0,0
90,-6.7,64,2.1,977,-12.3,0,0,0
190,-7.3,62,2.6,1112,-13.3,0,0,0
195,-7.2,47,2.8,1724,-16.6,0.18,0,0
201,-6.2,42,2.3,1893,-17,0.52,0,0
239,-5.2,30,4,1991,-20.1,0.86,0,0
252,-4.1,28,3.8,1998,-19.9,1.08,0,0
296,-3.7,23,4,1980,-21.8,1.12,0,0
292,-3.4,22,4.3,1966,-22.1,1.07,0,0
291,-3.3,22,5,2000,-22,0.86,0,0
258,-3.3,24,3.5,2000,-21,0.54,0,0
277,-4.6,26,2.6,2000,-21.2,0.17,0,0
212,-5.3,28,3.5,2000,-21,0,0,0
173,-6,32,2.4,2000,-20,0,0,0
143,-6.6,37,3.4,2000,-18.9,0,0,0
159,-7.1,39,3.2,2000,-18.7,0,0,0
155,-7.6,41,1.6,2000,-18.6,0,0,0
142,-8,41,2.2,2000,-18.9,0,0,0
175,-8.1,41,2,2000,-19,0,0,0
146,-8.4,40,1.6,2000,-19.6,0,0,0
132,-8.7,40,2.8,2000,-19.8,0,0,0
100,-9,40,3.1,2000,-20.1,0,0,0
41,-9.5,40,1.9,2000,-20.6,0,0,0
31,-9.7,41,3.1,2000,-20.5,0,0,0
39,-9.9,42,2.3,2000,-20.4,0,0,0
53,-10.2,42,2.3,2000,-20.6,0,0,0
94,-10.7,43,0.9,2000,-20.8,0,0,0
122,-10.5,38,1.1,1950,-22.1,0.19,0,0
142,-8.5,31,1.5,1997,-22.6,0.58,0,0
189,-7.2,29,1.8,1926,-22.2,0.88,0,0
216,-4.9,25,2.6,1966,-21.9,1.08,0,0
223,-4.5,25,3.2,1989,-21.6,1.14,0,0
268,-3.2,26,3.1,1933,-20,1.07,0,0
278,-2.5,28,2,2000,-18.5,0.85,0,0
256,-2.7,31,2.3,2000,-17.5,0.54,0,0
266,-3.8,35,2.4,2000,-17,0.17,0,0
204,-4.7,37,1.8,2000,-17.2,0.01,0,0
157,-5.6,39,1.1,2000,-17.3,0,0,0
166,-6,42,0.8,2000,-16.8,0,0,0
168,-6.5,45,0.7,2000,-16.4,0,0,0
172,-6.6,50,0.6,1990,-15.3,0,0,0
138,-6.9,53,0.7,2000,-14.8,0,0,0
151,-5.9,50,0.6,2000,-14.6,0,0,0
97,-5.3,48,0.4,1664,-14.6,0,0,0
38,-5,65,0.4,990,-10.5,0,0,0.2
32,-5.3,76,1,767,-8.8,0,0.3,0.5
29,-5.4,81,0.7,270,-8.1,0,0,0.7
27,-5.3,81,0.9,923,-8,0,0,0.8
45,-5.2,85,0.9,271,-7.3,0,0.4,1.3
96,-5,85,0.7,186,-7.1,0,0,1.8
146,-4.6,86,1.2,508,-6.5,0,0,2
52,-4.3,89,1,59,-5.8,0,1.6,4
36,-3.7,87,1,541,-5.5,0.03,0,4.8
44,-2.9,85,1.2,243,-5,0.06,0,4.8
62,-1.8,83,1.2,351,-4.3,0.09,1.1,5.1
76,-0.9,84,1.2,333,-3.2,0.09,0,5
116,0.5,76,0.9,364,-3.2,0.17,0,4.2
137,1.6,73,0.9,421,-2.7,0.6,0,3.2
181,1.8,76,0.8,410,-1.9,0.47,0,2.7
175,0.4,84,0.8,317,-1.9,0.15,0,2.7
281,0,88,0.6,277,-1.7,0,0,2.7
198,1.3,65,1.1,1122,-4.5,0,0,2.7
165,3.3,65,3.2,1172,-2.6,0,0,2.7
148,2.8,73,2.4,831,-1.5,0,0,2.6
160,1.5,82,2.4,537,-1.2,0,0,2.6
128,0.1,81,2.9,551,-2.7,0,0,2.6
122,-1,73,2.3,881,-5.2,0,0,2.6
122,-2,72,0.8,979,-6.3,0,0,2.6
93,-2.7,72,0.9,990,-7,0,0,2.6
55,-2.8,58,1.6,1315,-9.9,0,0,2.6
39,-2.9,59,1.8,1286,-9.8,0,0,2.6
55,-3.9,66,0.7,1209,-9.3,0,0,2.6
78,-4.3,70,1.6,1169,-8.9,0,0,2.6
165,-4.4,64,2.8,1367,-10.1,0,0,2.6
390,-5.2,58,2.2,1594,-12.1,0,0,2.5
199,-5.3,48,2.6,1810,-14.6,0.18,0,2.5
151,-4.6,41,2.8,1815,-15.8,0.57,0,2.5
174,-3.5,35,2.2,1742,-16.7,0.87,0,2.5
191,-2.5,31,2.6,1778,-17.3,1.08,0,2.3
189,-2.2,25,3.2,1970,-19.6,1.17,0,2.2
178,-2.2,23,3.7,1971,-20.5,1.09,0,2.2
195,-1.3,26,3,2000,-18.3,0.91,0,2.1
211,-1.8,31,3.1,1993,-16.7,0.56,0,2
256,-2.7,35,1.8,2000,-16,0.18,0,2
384,-3.8,42,3.3,2000,-14.8,0,0,2
276,-4.5,51,2,2000,-13.1,0,0,2
225,-4.9,55,2,2000,-12.5,0,0,2
224,-5,57,1.9,2000,-12.2,0,0,2
213,-5.5,56,1.5,2000,-12.9,0,0,2
149,-5.8,57,1.7,2000,-12.9,0,0,2
142,-6.5,63,1.5,1666,-12.3,0,0,2
172,-7.3,67,1.1,1593,-12.3,0,0,2
108,-7.8,68,0.9,1642,-12.6,0,0,2
71,-8.1,70,1.3,1557,-12.6,0,0,2
38,-8.5,73,1,1723,-12.4,0,0,2
56,-8.3,67,0.9,1566,-13.3,0,0,2
97,-8.2,66,0.9,1718,-13.4,0,0,2
213,-8.1,67,0.9,1737,-13.1,0,0,2
466,-7.8,65,1.1,1738,-13.2,0,0,2
239,-6.7,62,1.1,1749,-12.7,0.09,0,2
162,-5.4,56,1.1,1751,-12.8,0.28,0,2
204,-4.2,51,1.1,1772,-12.8,0.4,0,1.9
209,-3.2,49,1.3,1723,-12.4,0.53,0,1.9
228,-1.3,43,1,1777,-12.3,0.8,0,1.7
243,-0.5,44,1,1793,-11.2,0.71,0,1.7
240,-0.2,45,1,1852,-10.7,0.41,0,1.6
225,-0.5,48,1.1,1722,-10.1,0.12,0,1.6
237,-0.9,70,1.1,299,-5.6,0.02,0,2.2
329,-1.4,79,1.6,702,-4.5,0,0.1,2.2
190,-1.5,81,1.8,751,-4.3,0,0,2.2
165,-1.9,86,0.9,700,-3.9,0,0,2.4
197,-2,83,1.2,904,-4.5,0,0.1,2.4
184,-1.6,82,0.4,929,-4.2,0,0,2.3
153,-1.1,87,1.4,349,-2.9,0,0,2.2
166,-1.3,90,2,259,-2.7,0,0,2.2
189,-1.8,90,1.6,263,-3.2,0,0,2.2
132,-2.2,88,1.4,348,-3.9,0,0,2.2
79,-2.9,89,1.3,288,-4.4,0,0,2.2
58,-3.6,91,1.2,241,-4.8,0,0,2.2
49,-4.3,91,1.5,233,-5.5,0,0,2.2
84,-4.8,91,1.1,266,-6,0,0,2.2
178,-5.3,90,1.1,311,-6.6,0,0,2.2
423,-5.6,89,0.9,371,-7.1,0,0,2.2
265,-5.3,88,0.4,463,-6.9,0.21,0,2.2
169,-3,71,0.7,608,-7.5,0.67,0,2.1
243,-0.7,62,0.7,519,-7,0.77,0,2
290,1.9,40,2,1835,-10.3,1.04,0,1.9
285,3.2,42,1.8,1349,-8.5,1.08,0,1.8
255,4.3,47,2.3,953,-6,0.96,0,1.6
316,4.4,46,1.4,1113,-6.2,0.78,0,1
301,4.1,51,1.8,1112,-5.1,0.48,0,0.9
366,2.9,60,1.3,1193,-4.1,0.16,0,0.8
531,1.7,64,1.3,1140,-4.3,0,0,0.8
355,0.8,71,0.9,923,-3.8,0,0,0.8
288,0.2,72,0.7,990,-4.2,0,0,0.8
248,-0.4,74,0.6,1065,-4.4,0,0,0.8
252,-1.1,78,0.6,865,-4.4,0,0,0.8
212,-1.5,79,0.6,821,-4.6,0,0,0.8
196,-1.7,79,0.5,794,-4.8,0,0,0.8
250,-1.6,79,0.6,784,-4.7,0,0,0.8
161,-1.1,79,0.7,736,-4.2,0,0,0.8
99,-0.6,76,0.5,789,-4.3,0,0,0.7
64,-0.3,76,0.9,760,-4,0,0,0.7
76,-0.2,73,0.8,880,-4.4,0,0,0.7
114,-0.1,71,0.8,895,-4.7,0,0,0.7
283,-0.3,72,0.7,919,-4.7,0,0,0.7
544,-0.4,69,0.5,904,-5.4,0,0,0.7
298,0.3,67,0.7,897,-5.1,0.03,0,0.6
248,1.4,64,1,897,-4.6,0.25,0,0.5
278,3.1,57,0.8,804,-4.6,0.63,0,0
301,4.5,56,0.8,836,-3.5,0.71,0,0
320,5.4,55,1.2,820,-2.9,0.66,0,0
326,5.9,55,0.6,779,-2.4,0.48,0,0
386,6.5,55,0.9,801,-1.9,0.38,0,0
416,6,58,0.7,732,-1.6,0.19,0,0
477,5.4,61,1.3,691,-1.5,0.08,0,0
671,4.9,63,0.6,677,-1.5,0,0,0
481,5.2,64,0.7,691,-1,0,0,0
323,5.9,67,1.3,779,0.2,0,0,0
309,6.1,70,2.2,763,1,0,0,0
314,6.1,70,2.7,806,1,0,0,0
249,5.8,74,2.5,832,1.5,0,0,0
282,5.8,75,1.9,788,1.7,0,0,0
337,5.7,75,1.7,706,1.6,0,0,0
312,5.6,76,1.6,641,1.6,0,0,0
230,5.4,77,1.6,583,1.6,0,0,0
120,5.3,79,0.9,506,1.9,0,0,0
59,5,81,1.2,425,2,0,0,0
63,5.1,81,1.3,375,2.1,0,0,0
99,5.1,82,0.7,334,2.2,0,0,0
188,5.1,83,0.9,297,2.4,0,0,0
239,5.2,84,0.7,226,2.7,0.03,0,0
235,5.4,82,1.2,215,2.5,0.13,0,0
282,5.7,81,1.1,192,2.6,0.18,0,0
325,7,72,1.9,246,2.2,0.64,0,0
